preferred_canonical	merged_from	before_daf_count	after_daf_count
Treifa (mortally wounded animal)	Treifa (mortally wounded); Treifa (non-kosher animal); Treifa (diseased animal)	59	63
Trop (cantillation marks)	Trop in biblical books (cantillation marks for Job, Psalms, Proverbs)	2	3
Truma and Maasrot (priestly portion and tithes)	Truma and Maaser (heave offering and tithe)	1	2
Trumas Ha-Lishka (temple treasury funds)	Trumas Ha-Lishka (chamber treasury)	2	3
Trumat Hadeshen (removal of ashes)	Trumas Ha-Deshen (removal of ashes)	6	11
Tum'at Mikdash VeKodashav (impurity of Temple and sacred food)	Tum'at Mikdash v'Kodashav (impurity of the Temple and its holy objects); Tuma'at Mikdash v'Kodashav (impurity of sanctuary and holy things)	3	5
Tumah (ritual impurity)	Tumah (impurity); Tumeah (impurity)	51	58
Tumah and Taharah (impurity and purity)	Tumah and Tahara (impurity and purity); Tumah and Tahor (impurity and purity); Tumah and Tahor (ritual impurity and purity); Tumah v'Taharah (impurity and purity); Tumat and Tahara (impurity and purity)	3	61
Tumah in Biblical vs. Rabbinic Law	Tumah (ritual impurity) in rabbinic vs. biblical law; Tumah de'oraita vs. de'rabanan (biblical vs. rabbinic impurity)	1	4
Tumas Sheretz (impurity from vermin)	Tumah from sheretz (impurity from rodent)	1	2
Tumat Begadim (impurity of garments)	Tumah of garments (impurity of garments)	1	2
Tumat Mashkin (liquid impurity)	Tumat Mashkin (impurity of liquids); Tumah of liquids (Rabbinic impurity)	1	3
Tumat Meit (impurity from corpse)	Tumah Meit (impurity from corpse); Tumas Meis (impurity from corpse)	7	25
Tumat Mikdash (Temple impurity)	Tumas Mikdash (impurity of the Sanctuary); Tumat Mikdash (impurity of the Temple)	1	4
Tumat Ochlin (food impurity)	Tumat Ochlin (impurity of food)	5	6
Tumat Ohel (impurity of tent-like covering)	Tumat Ahel (impurity under a roof); Tumat Ohel (impurity of tent)	7	14
Tumtum and Androgynous	Tumtum (person with covered genitalia)	10	24
Tverya (Tiberias)	Tveriah (valley location)	2	3
Tvul Yom (one who immersed but awaits nightfall)	Tvul Yom (one immersed during the day)	10	20
Twelve months for parents	Twelve Months	1	2
Twelve-month test for safek treifah	Twelve-Month Drying Period; Twelve-month survival timeframe	1	3
Twenty-Four Hour Rule (sheshata me'et le'et)	Twenty-Four Hour Connection Rule	4	5
Two Deeds on One Field Prohibition	Two deeds for the same property	1	2
Two groups of daughters (two wives)	Two groups of daughters	1	2
Two Loaves (shtei kikarot)	Two Loaves (shtei ha-lechem) of Shavuot	1	2
Two Roads (tamei and tahor paths)	Two paths (tamei/tahor) analogy	1	2
Two Witnesses (Shney Edim)	Two Witnesses (Shney Edim) and Finality	2	3
Two-Line vs. Three-Line Tear Ruling	Two-Line Gap Rule	1	2
Two-Thousand Amah (2000 אמה) in circular vs. square measurements	Two-Thousand Amah (2000 אמה)	1	3
Tzaar (pain and suffering)	Tzaar (suffering)	21	23
Tzaar Ba'alei Chayim (animal suffering)	Tzaar ba'alei chayim (animal suffering)	15	16
Tzaddik (righteous person)	Tzadik (righteous person)	13	14
Tzaddik Gemurim (completely righteous)	Tzaddik Gamur (completely righteous person)	0	2
Tzaddik V'Ra Lo (righteous person who suffers)	Tzaddik Ve'Ra Lo (righteous person suffering)	1	2
Tzaddukim (Sadducees)	Tzadduki heretic rejecting water libation	9	10
Tzara'at (leprosy)	Tzaraat (leprosy)	27	28
Tzarat Ervah (co-wife of forbidden relative)	Tzarat Ervah (co-wife of forbidden woman)	13	16
Tzarat Krovat Chalitzato (co-wife of the chalitzah relative)	Tzarat Krovat Chalutzso (co-wife of the chalitzah relative)	1	2
Tzav (divine command)	Tzava (divine command)	1	2
Tzedoki (Sadducee)	Tzedokim (Sadducees)	1	4
Tzeidah (trapping)	Tzida (trapping)	1	3
Tzeli Esh (fire-roasted)	Tzeli esh (roasted)	1	2
Tzelofchad	Tzelafchad; Tzelofchad's daughters	1	3
Tzeroros (pebbles)	Tzerorot (rocks/pebbles)	4	5
Tzibbur (community)	Tzibur (community)	19	20
Tzidkiyahu	Tzidkiyah ben Kena'anah	3	4
Tzidon (Sidon)	Tzidoniim (Sidonians)	1	2
Tzimtzum (precision/exactness)	Tzimtzum (precision possible or impossible)	1	2
Tzinora (droplets/fluids from impure persons)	Tzinora (pitchfork)	2	3
Tziporah	Tzipporah	1	2
Tziporei Metzora (birds of leper)	Tzipor (birds) in Metzora ritual	4	5
Tziporim (birds)	Tzippor (bird)	3	4
Tzir (fish brine)	Tzir (hinge)	3	5
Tziruf Eidut (combining testimonies)	Tzeiruf (refining); Tziruf (combination)	1	10
Tzitzit (fringes)	Tzitzit (fringes) and Rav Yehuda's ruling; Tzitzit (fringes) and Techelet (blue thread); Tzitzit (fringes) as symbol of Torah connection; Tzitzit (fringes) obligation; Tzitzit and string cutting; Tzitzit construction; Tzitzit four corners interdependency; Tzitzit obligation; Tzitzit obligation on different fabrics	20	29
Tzli (roasting)	Tzli (roasted); Tzli Eish (direct fire roasting)	1	3
Tzoak (crying out)	Tzoa'kin (crying out verbally)	1	2
Tzon Barzel (iron flock)	Tzon Barzel (shepherd's liability)	2	3
Tzorchei Rabbim (communal needs)	Tzorchei Tzibbur (community needs)	3	4
Tzorech (purpose/need)	Tzorchah (necessity); Tzricha (necessity)	2	4
Tzorech Shabbat/Yom Tov (need of the day)	Tzorech Hamoed (purpose of the festival)	1	2
Tzoveah (coloring)	Tzoveiach (yelling and screaming); Tzovach kkruchiya (screaming like a crane)	1	3
Tzrorot (indirect damage via sharpness or heat)	Tzrorot (pebbles or indirect damage); Tzrorot (scattered items or indirect damage)	1	3
Tzurat HaPetach (doorframe configuration)	Tzura HaPetach (doorway structure)	13	14
Tzvi (deer)	Tzvaim (deer)	1	2
Ubar (fetus)	Ubarah (pregnant woman)	11	12
Udna (ear condition)	Tzomem/Tzomea (ear conditions)	1	2
Uktzin (stems of food)	Uktzim (stems)	1	2
Ulla	Ulla bar Manashya	20	21
Uman Koneh B'Shevach Kli (craftsman owns the improvement)	Uman koneh b'shvach kli (craftsman acquires through vessel improvement)	1	3
Umdana (assessment of intent)	Umdan da'at (presumed intent)	1	2
Umdena (assessment of capacity; causation)	Umdena (expert assessment; opinion)	1	2
Umman (mohel; circumciser)	Uman (craftsman)	1	5
Unanimous guilty verdict	Unanimity requirement; Unanimous verdict rule prohibiting execution on unanimous guilty	1	3
Uncovered water and snake poison	Uncovered liquids and snake poison	1	2
Urim and Tumim (priestly lots)	Urim v'Tumim (priestly lots)	1	7
Usha (post-destruction academy)	Usha	1	3
V'Ahavta L'Reiach Kamocha (You shall love your neighbor as yourself)	V'Ahavta (You shall love)	1	2
V'Hitzilu Ha'Edah (community shall save)	V'Hitzilu Ha'Edah (community obligation to save)	1	2
V'taval b'dam (dipping in blood)	V'taval (immersion requirement)	1	2
V'ten tal u'matar (grant dew and rain)	V'sein tal u'matar l'vracha (grant dew and rain for blessing)	2	3
Validation in Beis Din (validation before court)	Validated signatures on documents; Validating documents without defendant present	1	3
Vashti in Megillat Esther	Vashti	2	4
Vav (ו) conjunction	Vav (ו) conjunction in derasha; Vav (ו) connection	1	4
Vav mosif al inyan rishon (vav as addition to prior matter)	Vav mosif (vav adds)	1	2
Vayedaber Hashem el Moshe lemor (God spoke to Moses saying)	Vadibar Hashem el Moshe (God speaks to Moses)	1	2
Ve'ahavta le'reiecha kamocha (love your neighbor as yourself)	Ve'ahavta le-reiacha kamocha (love your fellow as yourself)	2	3
Ve'asita hayashar vehatov (doing the right thing)	Ve'asita ha-yashar ve-ha-tov (do what is right and good)	1	4
Ve'chi achicha imach (and your brother shall live with you)	V'Chai Achicha Imach (Your brother shall live with you); Ve'chei achicha imach (your brother's livelihood)	1	3
Ve'chipper al hakodesh (atonement for the sanctuary)	Ve'chipper (atonement achieved)	1	2
Ve'dam zevachecha yishapech (and the blood of your sacrifices shall be spilled)	V'Dam Zvachecha Yishafech (and the blood of your sacrifices shall be poured)	1	2
Ve'davak (and he shall cleave)	Ve'davak (cleaving)	1	2
Ve'hayu (and they shall be)	Ve'hayu (shall be); Ve'hayu (these words shall be); V'Hayu (They shall be) as establishing mutual dependence	1	4
Ve'hayu le'vasar echad (and they shall become one flesh)	Ve'hayu lebasar echad (becoming one flesh)	1	2
Veset (menstrual cycle)	Veset (expected period); Veset (regular menstrual period)	7	11
Vessels (Kelim) and functionality	Vessels (Kelim) as kinyan (acquisition); Vessels and household implements	1	3
Viability (Chakas Chayim)	Viability (Kiyum)	1	2
Viability of Neifel (stillborn/nonviable child)	Viable birth; Viable child (Holad ben kayama)	1	3
Vibration (Tiraya) and ground tremor damage	Vibration and tool damage; Vibrations and structures	1	3
Viduy (confession)	Viduy (verbalization of sin)	20	21
Vigilance and watching obligation (Shmirasan Alecha)	Vigilance against leavening	1	2
Vilon (curtain/temporary wall)	Vilon in tumah classification	1	2
Vinegar (chometz)	Vinegar	2	3
Vines and gourds on schach	Vine and gourd bending over sukkah	1	2
Vineyard Density (kerem)	Vineyard Spacing (kerem)	1	2
Virgin (betulah)	Virgin Earth (betulah)	1	2
Virgin vs. Widow Distinction	Virgin as Three Types	1	2
Visible Damage (negar/hezek nikar)	Visible Blemish That Does Not Grow Back (mum shebaglui v'einan chozer)	1	2
Viter (waiver of rights)	Vitel (waived)	1	2
Vlad (offspring)	Vlad Acher (another fetus); Vlad Behemah Milog (offspring of dowry animals); Vlad Chatas (offspring of sin offering); Vlad HaTumah (derivative impurity); Vlad Kodashim (offspring of sacred animals); Vlad of Chatas or Todah; Vlad Sheni Kemahn Deleit Damei (second birth treated as nonexistent); Vlad Shifcha Milog (offspring of dowry slaves); Vlad Todah (offspring of todah); Vlad Treifa (offspring of treifa mother); Vlad Vladot Ha'aretz (descendants of the land); Vladot Kodshim (animals born to sacrifices)	6	23
Vow (neder)	Vow and Year-Expiration; Vow or Free-Will (neder o nedavah)	1	3
Vow Annulment (hataras nedarim)	Vow Annulment and Father's/Husband's Authority	1	2
Vows and voluntary offerings	Voluntary Offerings: Olah, Minchah, Shelamim Reuse	1	2
Walking Backwards (yetzias hakodesh)	Walking Backwards	1	2
Wall (mechitza)	Wall Requirements (chomah)	1	2
Walled city (ir chomah)	Walled city house redemption in one-year window	2	3
Wasp (zibora) ingestion	Wasp (zibura)	1	2
Waste of money (chasa haTorah al mamonam)	Water (drinking and medicinal); Water (mayim); Water (mayim/mayim sheulim)	1	4
Water and salt (excluded substances)	Water and salt (excluded from food)	1	2
Water libation (nisuch hamayim)	Water offering in Sukkot	2	3
Water rights	Water Rights; Water Rights Between Towns	1	3
Weasel/mongoose (neamia/khaza)	Weasel	1	2
Wednesday Wedding for Virgins	Wednesday Wedding (takana)	1	2
Well (bor)	Well (bor) liability	3	4
Western lamp (ner ma'aravi)	Western Light of Menorah (ner ma'aravi)	1	2
Wheat and Barley (chiti u'se'ari)	Wheat and barley analogy	1	2
Whole Versus Part (Bichulam, Bimiktzan)	Whole vs. Halves (Kulah vs. Chatzi)	1	2
Widow (Almana)	Widow and Divorcée (Almanah u'Grushah)	2	3
Wife (Isha)	Wife and Husband	1	2
Wild Animals (Chaya Ra'ah)	Wild versus domesticated animals	1	2
Willing to risk life	Willing to give one's life	1	2
Window (Chalon)	Window (Aruba) and Door (Dalet)	2	3
Wine (Yayin)	Wine (Tirosh) and oil (Yitzhar)	5	6
Wine and Libations (Nesachim)	Wine libation (nesachim)	1	2
Wine and Oil (Yayin V'Shemen)	Wine and oil as recognized liquids; Wine and oil as viscous liquids adhering to vessels	1	3
Wine versus vinegar	Wine and Vinegar Analogy	1	2
Witchcraft (kishuf)	Witchcraft (kashfaniyot)	2	3
Witness specification	Witness distinction (one versus two witnesses)	1	2
Witness testimony and acceptance (chakirat edim)	Witness interrogation and contradiction	1	2
Witnesses (edim)	Witnesses' testimony; Witnesses and evidence; Witnesses and document validity	3	6
Witnesses requirement	Witness coercion and testimony	1	2
Woman (isha)	Women	1	3
Woman in childbirth (yashva al hamashber)	Woman in childbirth vulnerable	1	2
Woman's credibility (ne'emanut isha)	Women's testimony; Woman testimony	1	3
Woman's testimony about husband's death	Woman reporting husband's death	1	2
Women and mitzvot (exempt but permitted)	Women and minors exempted	1	2
Women exempt from time-bound mitzvot	Women's exemption from mitzvot aseh (positive commandments); Women's exemption from time-bound commandments; Women's exemption from mitzvot	2	6
Women's obligation in Pesach	Women's obligation in chametz and matzah; Women's status in Pesach	2	4
Wooden vessels	Wood vessels; Wooden vessels made to remain in place	1	3
Wool and linen paradigm	Wool and linen as primary fabrics; Wool and linen strings universal on any garment	1	3
Worker's rights and employment obligations	Worker's right to eat; Worker's rights and quits; Workers and customary practices; Workers' rights from Torah	1	6
Yachid (individual)	Yachid (private owner)	7	8
Yachid vs. Tzibbur (individual vs. communal)	Yachid B'Makom Nochri (individual in non-Jewish place)	5	7
Yachloku (division of contested property)	Yachloku (split equally)	1	10
Yad (hand)	Yad (abbreviated statement)	17	21
Yad soledes bo (heat transfer)	Yad Soledes Bo (scalding temperature)	1	9
Yadayim (hands)	Yadayim (hand impurity); Yadayim (indirect expressions)	1	3
Yakir (recognition of paternity)	Yakir (recognition of child)	2	3
Yakum al Shem Achiv (standing on brother's name)	Yakum al Shem Achiv Ha-Met (standing on brother's name, the deceased); Yakum al Shem Achiv le-Nachala (standing on brother's name for inheritance)	1	3
Yam Ha-Gadol (Mediterranean Sea)	Yam HaGadol (Mediterranean Sea boundaries)	1	2
Yamim (days) as unit of measure	Yamim (days) in year calculation	1	2
Yarkei Kdera (pot vegetables)	Yarka (vegetables)	1	2
Yatom (orphan animal)	Yasom (orphan animal)	1	2
Yatza Ha-Sha'ar (market price established)	Yatzei Ha'Sha'ar (market price setting)	3	4
Yavesh (dried)	Yaveshah (dried)	5	6
Yavesh B'Yavesh (solids mixed with solids)	Yavash B'Yavash; Lach B'Lach (dry and dry; liquid and liquid)	1	2
Yayin Mazug (diluted wine)	Yayin mazug (mixed wine)	2	3
Yayin mevushal (cooked wine)	Yayin Mevushal (cooked wine)	1	3
Yayin Nesech (wine libation)	Yayin nesech (libation wine); Yayin Nesech (wine of idolatry); Yayin Nesech (wine offered to idols)	21	26
Ye'udah (designation of indentured woman)	Ye'ud (designation for marriage)	1	2
Ye'ush V'Shinui Reshut (relinquishment and change of possession)	Ye'ush She'lo Mida'at (despair without knowledge)	1	2
Yechezkel (Ezekiel)	Yechezkel ben Buzi (Ezekiel ben Buzi)	14	15
Yechoniah	Yechanya (Jeconiah) and Exile	1	2
Yedi'ah b'techilah v'yedi'ah b'sof (knowledge at beginning and end)	Yedi'ah at beginning and end; Yedi'ah b'tchila (initial awareness); Yedi'ah in beginning and end categories (awareness)	1	5
Yediah (awareness)	Yedi'ah (awareness)	0	11
Yehoshua ben Nun	Yehoshua	4	14
Yehoshua's institution (takkanah)	Yehoshua's stipulations (takkanot)	1	2
Yehoyachin	Yehoyachin's exile	1	3
Yehoyakim	Yehoyakim and scroll burning	3	4
Yehu ben Nimshi	Yehu	1	2
Yehuda Feliks	Yehuda Felix	1	2
Yeihareg ve'al ya'avor (Let him be killed rather than transgress)	Yeihareig Ve'al Ya'avor (martyrdom obligation)	1	2
Yeira'eh (shall be seen)	Yeira'eh (you shall see/be seen)	1	2
Yeiush (Despair/Owner's Relinquishment of Hope)	Yeiush ba'alim (despair of owners)	2	3
Yeladah (young vine)	Yeludim vs. Noladim (past-born vs. future-born)	1	2
Yereiot (curtains/hangings)	Yereiot in Mishkan (curtains of the Mishkan)	1	2
Yerek (vegetables)	Yerakot (vegetables); Yeroka	2	4
Yerusha (Inheritance)	Yerusha (inheritance)	19	24
Yerushalmi (Jerusalem Talmud)	Yerushalmi interpretation in Jerusalem Talmud; Yerushalmi measures in Jerusalem Talmud; Yerushalmi on angel in Holy of Holies; Yerushalmi on doorways in Jerusalem Talmud; Yerushalmi source in Jerusalem Talmud; Yerushalmi sources in Jerusalem Talmud	24	30
Yerushalmi vs. Bavli (Jerusalem vs. Babylonian Talmud)	Yerushalmi vs. Bavli perspectives; Yerushalmi vs. Bavli text transmission; Yerushalmi and Bavli comparison	2	5
Yesh Bereirah (retroactive designation)	Yesh Bereirah / Ein Bereirah (retroactive designation); Yeish Breira (there is retroactive choice)	8	11
Yesh Bilah (equal distribution)	Yesh Bilah / Ein Bilah (equal/unequal distribution)	1	2
Yesh Eim LaMesoret vs. Yesh Eim LaMikra (written vs. read form)	Yesh Eim LaMesoret (written form priority); Yesh Eim LaMikra (reading priority)	1	5
Yesh Zika (connection/lien)	Yesh Zika / Ein Zika (connection/lien)	3	4
Yeshiva	Yeshiva / Mesiba distinction (sitting vs. reclining); Yeshiva dormitory scenario; Yeshiva of Avot; Yeshiva students sleeping and eating in different locations; Yeshivat Sukkah (sitting in Sukkah)	2	7
Yesod (foundation)	Yesod (base of altar); Yesodie (base of altar)	1	16
Yesod and Sovev in altar structure	Yesod Maaravi (western base of altar); Yesod blood application requirement in altar	1	3
Yetzer Ha-Ra (evil inclination)	Yetzer Hara (evil inclination); Yetzer hara (evil inclination) in Rambam's explanation; Yetzer hara (evil inclination) in Rambam's theory	1	32
Yetzer Hara and Yetzer Tov	Yetzer Hara in relation to visible things; Yetzer Hara in sexual matters on Yom Kippur; Yetzer Hara in spiritual struggle; Yetzer Hara onset	3	7
Yetziah (exit)	Yetziah (expenses)	1	2
Yetziat Mitzrayim (exodus from Egypt)	Yetziat Mitzrayim in relation to nighttime; Yetziat Mitzrayim timing	9	12
Yeush (abandonment of hope)	Yeush (abandonment)	11	12
Yeush Shelo Midaas (abandonment without awareness)	Yeush Shelo Mada'at (abandonment without knowledge)	1	2
Yevamot (halakhot of levirate marriage and release)	Yevama and Chalitzah (sister-in-law and release); Yibum and Chalitzah (levirate marriage and release)	1	11
Yibum (levirate marriage)	Yibbum (levirate marriage); Yibum (levirate marriage) and Yevama; Yibum (levirate marriage) in cases of minors; Yibum (levirate marriage) in cases of one-day-old child; Yibum (levirate marriage) in gift obligations; Yibum (levirate marriage) in Sotah cases; Yibum (levirate marriage) timing relative to child's birth; Yibum (levirate marriage) with pregnant woman; Yibum (levirate marriage) with Tumtum	100	120
Yibum and Chalitzah priority	Yibum Binachalah Tala Rachmana (levirate marriage obligation depends on inheritance)	1	2
